route_id,route_short_name,route_long_name,route_desc,agency_id,route_color,route_text_color,route_type
T_1043,10-5,Terminal Sur,ALIMENTADOR,4,196939,FFFFFF,3
T_1139,10-4,Bosa Laureles,ALIMENTADOR,4,196939,FFFFFF,3
T_1158,2-11,ANDALUCIA,ALIMENTADOR,4,196939,FFFFFF,3
T_1190,9-1,Casablanca,ALIMENTADOR,4,196939,FFFFFF,3
T_1195,9-6,Avenida Villavicencio,ALIMENTADOR,4,196939,FFFFFF,3
T_1196,9-7,Bosa La Independencia,ALIMENTADOR,4,196939,FFFFFF,3
T_1200,13-13,Resurreccion,ALIMENTADOR,4,196939,FFFFFF,3
T_1204,8-4,Corabastos,ALIMENTADOR,4,196939,FFFFFF,3
T_1260,K43,Cad,TRONCAL,1,CFAB7A,FFFFFF,3
T_1262,2-4,El Codito,ALIMENTADOR,4,196939,FFFFFF,3
T_1286,16-4,El Muelle,ALIMENTADOR,4,196939,FFFFFF,3
T_1288,16-6,La Faena,ALIMENTADOR,4,196939,FFFFFF,3
T_1291,16-3,Av. Eldorado Alamos,ALIMENTADOR,4,196939,FFFFFF,3
T_1311,10-3,Circular Alameda,ALIMENTADOR,4,196939,FFFFFF,3
T_1312,10-2,Bosa Centro,ALIMENTADOR,4,196939,FFFFFF,3
T_1322,J70,Las Aguas,TRONCAL,1,DD9BA5,FFFFFF,3
T_1388,8-1,Kennedy Central,ALIMENTADOR,4,196939,FFFFFF,3
T_1389,8-2,Kennedy Hospital,ALIMENTADOR,4,196939,FFFFFF,3
T_1394,2-7,San Jose,ALIMENTADOR,4,196939,FFFFFF,3
T_1395,2-7,San Jose Ciclovia Ciclovia,ALIMENTADOR,4,196939,FFFFFF,3
T_1399,G43,San Mateo,TRONCAL,1,00A4E4,FFFFFF,3
T_1414,M82,Clinica El Bosque Refuerzo,PADRON,2,00618E,FFFFFF,3
T_1451,M82,Clinica El Bosque,PADRON,2,00618E,FFFFFF,3
T_1451-2,L82,Portal 20 De Julio,PADRON,2,00618E,FFFFFF,3
T_1452,L82,Portal 20 De Julio Refuerzo,PADRON,2,00618E,FFFFFF,3
T_1525,9-2,Metrovivienda Hora Pico,ALIMENTADOR,4,196939,FFFFFF,3
T_1527,9-11,Franja Seca,ALIMENTADOR,4,196939,FFFFFF,3
T_1528,9-4,Patio Bonito,ALIMENTADOR,4,196939,FFFFFF,3
T_1529,9-10,Roma,ALIMENTADOR,4,196939,FFFFFF,3
T_1531,9-9,Bosa Santafe,ALIMENTADOR,4,196939,FFFFFF,3
T_1566,K54,Portal Eldorado,TRONCAL,1,CFAB7A,FFFFFF,3
T_162,8-5,Biblioteca Tintal,ALIMENTADOR,4,196939,FFFFFF,3
T_1632,13-12,Los Libertadores,ALIMENTADOR,4,196939,FFFFFF,3
T_1650,H72,Portal Usme,TRONCAL,1,F6891F,FFFFFF,3
T_1693,10-8,Olarte Timiza,ALIMENTADOR,4,196939,FFFFFF,3
T_1711,D81,Av Cl 80  Kr 119,PADRON,2,00618E,FFFFFF,3
T_1727,10-4,Bosa Laureles Hora Pico,ALIMENTADOR,4,196939,FFFFFF,3
T_1746,H83,Portal Usme,PADRON,2,00618E,FFFFFF,3
T_1775,6-8,Vista Hermosa,ALIMENTADOR,4,196939,FFFFFF,3
T_1776,6-8,Vista Hermosa Refuerzo,ALIMENTADOR,4,196939,FFFFFF,3
T_1777,6-5,Tesoro,ALIMENTADOR,4,196939,FFFFFF,3
T_1778,6-5,Tesoro Circular,ALIMENTADOR,4,196939,FFFFFF,3
T_1779,6-5C,Tesoro Arabia,ALIMENTADOR,4,196939,FFFFFF,3
T_1781,6-7,San Joaquin Circular,ALIMENTADOR,4,196939,FFFFFF,3
T_1784,6-1C,Casalinda,ALIMENTADOR,4,196939,FFFFFF,3
T_1785,6-12,Villa Gloria,ALIMENTADOR,4,196939,FFFFFF,3
T_1786,6-9,Arborizadora Alta,ALIMENTADOR,4,196939,FFFFFF,3
T_1787,6-6,Juan Jose Rondon,ALIMENTADOR,4,196939,FFFFFF,3
T_1808,B55,Heroes,TRONCAL,1,7AC143,FFFFFF,3
T_1813,D21,Portal 80,TRONCAL,1,7A68AE,FFFFFF,3
T_1835,8-3,Castilla,ALIMENTADOR,4,196939,FFFFFF,3
T_1843,G45,San Mateo,TRONCAL,1,00A4E4,FFFFFF,3
T_1844,G45,Portal Sur,TRONCAL,1,00A4E4,FFFFFF,3
T_1873,C73,Portal Suba,TRONCAL,1,FDBB30,000000,3
T_1879,H15,Portal Suba,TRONCAL,1,F6891F,FFFFFF,3
T_1880,C15,Portal Suba,TRONCAL,1,FDBB30,000000,3
T_1881,H15,Portal Tunal,TRONCAL,1,F6891F,FFFFFF,3
T_1890,H54,Portal Usme,TRONCAL,1,F6891F,FFFFFF,3
T_1891,L10,Portal 20 De Julio,TRONCAL,1,00AAA6,FFFFFF,3
T_1892,K10,Portal Eldorado,TRONCAL,1,CFAB7A,FFFFFF,3
T_1899,6-4,Paraiso,ALIMENTADOR,4,196939,FFFFFF,3
T_1910,9-5,Avenida Tintal,ALIMENTADOR,4,196939,FFFFFF,3
T_1939,H73,Portal Tunal,TRONCAL,1,F6891F,FFFFFF,3
T_1940,6-2,San Francisco,ALIMENTADOR,4,196939,FFFFFF,3
T_1942,1-5,Colsubsidio,ALIMENTADOR,4,196939,FFFFFF,3
T_1949,B16,Terminal,TRONCAL,1,7AC143,FFFFFF,3
T_1950,K16,Portal Eldorado,TRONCAL,1,CFAB7A,FFFFFF,3
T_1951,M83,Museo Nacional,PADRON,2,00618E,FFFFFF,3
T_1971,B13,Portal Norte,TRONCAL,1,7AC143,FFFFFF,3
